,Year,ocean heat mean,ocean level mean,ocean temp mean,Carbon dioxide,Methane,Nitrous oxide,CFC-12,CFC-11,15 other gases
18,1997,0.27491637705851574,0.39516876603514317,0.4482758620689654,0.38036224976167776,0.6181818181818178,0.3877551020408162,0.9634146341463418,0.9629629629629629,0.4897959183673469
19,1998,0.3144221088749099,0.32360463363806385,0.5344827586206897,0.41658722592945663,0.6545454545454542,0.4081632653061223,0.975609756097561,0.9629629629629629,0.5
20,1999,0.391095378762708,0.3888309439460527,0.1896551724137931,0.4461391801715921,0.6818181818181815,0.4489795918367346,0.9878048780487805,0.9259259259259258,0.5204081632653061
21,2000,0.34491605229915484,0.40292934426514093,0.22413793103448273,0.46329837940896085,0.6818181818181815,0.4795918367346938,0.9878048780487805,0.9259259259259258,0.5306122448979592
22,2001,0.35115123561912825,0.45435093629306417,0.4482758620689655,0.4842707340324118,0.6727272727272724,0.49999999999999994,1.0,0.8888888888888888,0.5510204081632654
23,2002,0.4717305880517394,0.48018742298476524,0.5,0.5119161105815062,0.6818181818181815,0.520408163265306,1.0,0.8888888888888888,0.5714285714285714
24,2003,0.5921638033752886,0.5554157938538614,0.5517241379310345,0.5462345090562442,0.6999999999999997,0.5408163265306122,1.0,0.8518518518518517,0.5918367346938775
25,2004,0.5844347741002838,0.5558895674724483,0.5172413793103449,0.5719733079122974,0.6999999999999997,0.5612244897959183,1.0,0.8518518518518517,0.6020408163265305
26,2005,0.5641541908538078,0.5627473537736333,0.5172413793103449,0.5986653956148713,0.6909090909090906,0.5918367346938775,0.9878048780487805,0.8148148148148147,0.6224489795918366
27,2006,0.6341538661431594,0.600377672458105,0.5172413793103449,0.6272640610104863,0.6909090909090906,0.6224489795918368,0.9878048780487805,0.8148148148148147,0.6530612244897959
28,2007,0.5743188386618894,0.6137613744295528,0.396551724137931,0.6510962821734986,0.7090909090909088,0.6428571428571429,0.975609756097561,0.7777777777777776,0.6836734693877551
29,2008,0.6204332152991929,0.6855118099598688,0.3620689655172414,0.6787416587225931,0.727272727272727,0.6734693877551021,0.9634146341463418,0.7777777777777776,0.7040816326530612
30,2009,0.6582340142252442,0.7359023270693614,0.5862068965517241,0.6987607244995233,0.7545454545454543,0.6938775510204079,0.9634146341463418,0.7407407407407406,0.7346938775510203
31,2010,0.6507323093421135,0.7946275386537888,0.603448275862069,0.7283126787416586,0.7727272727272725,0.7244897959183672,0.9390243902439027,0.7407407407407406,0.7653061224489796
32,2011,0.6838080083597851,0.802221579176046,0.41379310344827586,0.7530981887511915,0.7818181818181816,0.7551020408163264,0.9390243902439027,0.7037037037037035,0.7959183673469388
33,2012,0.6931283084266203,0.8893302005706023,0.5344827586206897,0.7797902764537654,0.7999999999999998,0.7857142857142856,0.9268292682926832,0.7037037037037035,0.826530612244898
34,2013,0.766505374632245,0.8346394238519399,0.5689655172413792,0.8150619637750237,0.818181818181818,0.8061224489795917,0.9146341463414637,0.6666666666666666,0.8469387755102041
35,2014,0.7812327477343698,0.7814268154092975,0.7241379310344828,0.8398474737845566,0.8454545454545453,0.846938775510204,0.9024390243902441,0.6666666666666666,0.8775510204081634
36,2015,0.8682330399958741,0.8654653809403408,0.9310344827586207,0.8684461391801714,0.8909090909090908,0.8775510204081631,0.8902439024390246,0.6666666666666666,0.8979591836734693
37,2016,0.8242944825379362,0.8923779493692225,1.0,0.9132507149666349,0.9181818181818181,0.9081632653061223,0.8780487804878051,0.6296296296296297,0.9285714285714285
38,2017,0.9136816809141178,0.904874230084951,0.896551724137931,0.9399428026692086,0.9363636363636363,0.9285714285714285,0.8658536585365856,0.6296296296296297,0.9489795918367346
39,2018,0.9425681161386822,0.9373031075172977,0.810344827586207,0.9694947569113441,0.9636363636363636,0.9693877551020408,0.8536585365853661,0.6296296296296297,0.9795918367346939
40,2019,1.0,1.0,0.9482758620689655,1.0,1.0,1.0,0.8414634146341465,0.6296296296296297,1.0
